card,round,a0,ttc0,a1,ttc1,a2,ttc2,a3,ttc3,a4,ttc4,a5,ttc5,a6,ttc6,a7,ttc7,a8,ttc8,a9,ttc9
201,403009,46,9806,30,9676,55,18195,50,14143,41,7442,52,8403,123,8395,684,45037,102,12706,153,19425
202,405064,47,10006,32,9878,55,18493,50,14401,41,7614,54,8589,128,8573,692,45528,104,12948,159,19713
203,407125,48,10201,32,10067,56,18789,52,14665,42,7787,55,8773,131,8765,703,46018,109,13168,162,20041
204,409118,49,10390,32,10243,56,19080,53,14910,44,7949,57,8970,132,8951,713,46493,109,13386,163,20352
205,411092,50,10575,33,10427,56,19371,54,15150,45,8095,58,9136,134,9120,724,46977,115,13615,164,20660
206,413147,52,10791,35,10627,57,19672,55,15405,45,8265,59,9302,137,9267,729,47463,117,13855,169,20963
207,415214,53,10992,36,10827,57,19943,56,15665,46,8419,60,9475,139,9465,744,47959,121,14089,173,21271
208,417206,53,11166,37,11018,60,20268,58,15939,47,8612,60,9689,143,9661,752,48455,121,14340,174,21586
209,419220,54,11369,39,11237,60,20563,58,16193,49,8797,60,9885,147,9873,760,48988,124,14577,177,21901
210,421225,55,11587,40,11428,60,20875,59,16444,49,8968,60,10078,153,10060,765,49476,125,14816,179,22240
211,423262,56,11811,41,11627,61,21169,62,16710,53,9128,62,10262,158,10269,775,49991,128,15079,180,22572
212,425350,58,12027,44,11854,62,21500,66,16998,54,9312,63,10451,161,10445,784,50520,130,15344,180,22887
213,427337,61,12227,45,12046,64,21799,69,17275,56,9481,65,10647,163,10647,793,51054,134,15594,186,23219
214,429308,61,12413,46,12246,67,22127,71,17542,56,9651,67,10873,168,10847,799,51533,137,15837,190,23558
215,431376,62,12617,46,12450,67,22431,71,17803,56,9823,70,11054,174,11062,813,52068,139,16101,191,23880
216,433412,64,12841,47,12678,68,22731,72,18103,56,10033,76,11260,177,11261,821,52598,146,16348,194,24226
217,435437,65,13060,47,12912,69,23054,74,18380,56,10225,76,11479,181,11454,829,53095,151,16615,198,24597
218,437445,65,13274,48,13158,71,23418,74,18693,59,10409,77,11703,184,11672,836,53599,153,16903,200,24932
219,439454,66,13478,48,13365,72,23736,75,18978,60,10577,78,11925,189,11889,846,54115,153,17185,201,25263
220,441491,66,13720,48,13565,74,24074,75,19268,60,10782,79,12119,198,12124,854,54623,156,17458,205,25639
221,443528,67,13915,48,13810,75,24376,76,19557,61,10988,79,12329,200,12335,862,55160,162,17747,211,25991
222,445546,68,14129,49,14033,78,24711,78,19848,62,11178,81,12548,203,12534,873,55717,163,18002,213,26338
223,447558,68,14371,49,14259,79,25046,78,20153,64,11383,83,12795,210,12762,879,56253,165,18267,218,26680
224,449582,68,14609,49,14487,79,25367,79,20424,68,11581,83,13030,216,13011,889,56800,168,18561,220,27009
225,451577,68,14848,51,14736,79,25694,80,20744,68,11795,83,13245,216,13242,904,57316,170,18808,221,27359
226,453650,68,15093,51,14976,80,26028,80,21059,69,12017,87,13482,218,13459,915,57857,175,19105,222,27753
227,455652,70,15319,52,15209,82,26350,80,21361,71,12221,87,13698,221,13673,927,58428,175,19404,226,28131
228,457713,71,15570,55,15435,82,26691,85,21677,73,12437,88,13946,226,13909,938,58958,179,19711,234,28495
229,459661,73,15793,55,15663,85,27037,86,21954,76,12645,91,14172,229,14142,941,59484,182,19987,239,28837
230,461664,73,16027,56,15906,87,27389,86,22238,77,12856,92,14402,232,14350,952,59995,185,20270,240,29211
231,463714,75,16292,56,16167,92,27740,87,22547,79,13067,94,14635,235,14606,959,60568,186,20561,242,29578
232,465818,76,16555,57,16423,95,28080,88,22883,81,13298,95,14892,237,14862,974,61123,186,20892,245,29972
233,467823,79,16806,57,16680,95,28409,90,23207,84,13544,96,15149,239,15101,981,61665,188,21182,253,30333
234,469854,80,17061,59,16947,96,28776,91,23513,85,13758,97,15402,240,15323,990,62249,190,21497,257,30697
235,471844,81,17326,61,17198,98,29140,93,23838,85,13971,102,15647,245,15583,1000,62817,192,21790,262,31087
236,473834,82,17569,63,17447,100,29501,94,24139,86,14168,103,15866,252,15823,1006,63398,194,22122,271,31480
237,475875,82,17815,64,17704,101,29887,94,24458,87,14387,103,16128,255,16056,1011,63952,196,22455,273,31869
238,478001,83,18125,65,17981,102,30238,94,24791,88,14666,104,16405,260,16334,1024,64568,201,22793,276,32265
239,479903,83,18388,65,18236,103,30585,95,25128,90,14902,107,16648,267,16580,1032,65112,203,23078,278,32609
240,481935,85,18670,65,18520,105,30946,95,25440,91,15123,112,16896,273,16855,1044,65691,204,23393,282,33002
241,483978,87,18945,66,18794,105,31318,97,25768,97,15345,113,17185,276,17144,1052,66230,209,23688,288,33405
242,486036,89,19194,67,19052,105,31681,99,26131,99,15608,114,17456,279,17397,1060,66816,212,24022,291,33781
243,488047,90,19494,68,19346,106,32081,101,26440,101,15838,114,17712,291,17665,1069,67383,216,24356,293,34189
244,490110,92,19789,68,19619,108,32470,104,26771,101,16102,118,17958,297,17946,1081,67983,220,24676,301,34594
245,492108,94,20034,68,19884,108,32832,104,27098,102,16306,121,18211,304,18208,1091,68519,224,25027,305,34979
246,494113,95,20334,68,20160,109,33210,106,27441,102,16552,122,18491,312,18508,1104,69113,228,25348,310,35385
247,496157,95,20644,69,20463,110,33588,108,27796,103,16820,123,18774,315,18806,1114,69686,230,25676,314,35826
248,498136,98,20937,71,20735,110,33962,109,28140,104,17087,125,19058,320,19060,1121,70315,233,26009,320,36229
249,500183,100,21247,71,21028,110,34330,109,28494,105,17341,130,19347,325,19348,1132,70916,235,26332,324,36651
250,502253,102,21538,73,21320,112,34716,110,28841,105,17587,132,19619,330,19618,1143,71539,240,26682,328,37084
251,504227,102,21810,74,21608,112,35088,111,29193,105,17825,135,19894,333,19886,1156,72099,243,27014,334,37465
252,506239,102,22104,75,21906,113,35479,112,29528,107,18072,136,20157,336,20173,1167,72690,245,27372,338,37880
253,508298,103,22429,77,22244,114,35901,113,29902,111,18390,141,20468,340,20476,1181,73297,246,27719,343,38360
254,510281,103,22735,77,22527,114,36320,116,30259,112,18648,142,20752,345,20771,1195,73911,249,28090,344,38798
255,512356,106,23071,78,22879,115,36742,116,30653,114,18917,143,21063,355,21085,1203,74517,252,28440,349,39221
256,514374,109,23350,78,23179,117,37130,117,31019,116,19202,145,21339,358,21389,1213,75097,257,28802,353,39646
257,516374,112,23657,80,23480,117,37532,117,31354,118,19470,146,21628,365,21713,1227,75717,262,29143,354,40093
258,518370,112,23954,81,23794,117,37914,119,31709,121,19737,148,21924,372,22006,1236,76333,265,29506,360,40518
259,520429,113,24283,81,24097,118,38349,121,32091,124,20008,148,22237,381,22302,1249,76938,266,29871,364,40983
260,522446,117,24618,81,24432,119,38754,123,32475,126,20324,149,22516,388,22653,1255,77525,271,30241,371,41421
