card,round,a0,ttc0,a1,ttc1,a2,ttc2,a3,ttc3,a4,ttc4,a5,ttc5,a6,ttc6,a7,ttc7,a8,ttc8,a9,ttc9
221,443622,69,13811,36,14304,82,24418,59,20036,63,10735,76,12128,152,11705,900,55539,156,18105,206,24708
222,445663,71,14068,36,14517,84,24775,59,20332,64,10922,79,12329,155,11918,909,56100,158,18384,209,24995
223,447618,72,14323,36,14785,84,25101,59,20646,65,11118,82,12540,156,12118,917,56653,161,18667,210,25305
224,449643,72,14559,36,15042,85,25430,60,20954,65,11321,83,12779,159,12355,925,57165,164,18953,217,25662
225,451696,73,14812,36,15283,86,25774,62,21268,70,11537,84,12997,166,12584,933,57707,167,19230,219,26025
226,453737,73,15034,36,15521,86,26107,63,21593,71,11739,87,13248,169,12816,946,58246,171,19525,222,26348
227,455713,73,15290,37,15757,86,26483,63,21890,72,11938,88,13437,176,13047,954,58785,172,19824,223,26689
228,457788,74,15570,37,16010,86,26856,63,22212,73,12150,90,13672,178,13270,964,59338,173,20125,229,27073
229,459806,74,15794,41,16244,88,27196,64,22538,75,12351,93,13908,180,13480,971,59856,174,20430,235,27417
230,461840,77,16029,42,16501,90,27556,65,22862,77,12551,94,14140,183,13724,977,60392,175,20696,237,27765
231,463836,82,16305,42,16755,91,27909,67,23198,79,12773,94,14365,191,13972,987,60902,178,20999,247,28102
232,465859,84,16574,42,17036,94,28271,70,23533,79,12993,96,14614,192,14203,997,61456,180,21310,250,28433
233,467890,87,16851,42,17293,95,28639,73,23859,80,13207,98,14870,194,14442,1004,62011,184,21605,254,28762
234,469919,88,17103,43,17573,95,29014,75,24183,81,13432,99,15107,197,14696,1019,62590,185,21915,258,29155
235,471881,90,17356,43,17825,99,29377,78,24503,84,13655,99,15346,202,14927,1033,63131,186,22212,259,29493
236,473967,91,17606,44,18089,101,29752,79,24880,87,13878,99,15583,203,15165,1044,63703,191,22575,262,29880
237,475985,93,17887,47,18346,102,30112,79,25203,87,14100,103,15837,207,15412,1055,64301,199,22909,263,30254
238,478000,94,18160,48,18641,106,30495,80,25533,88,14336,103,16089,210,15679,1070,64882,199,23225,266,30643
239,479991,97,18424,49,18917,106,30876,81,25908,88,14566,105,16383,212,15937,1081,65422,201,23511,268,31015
240,482012,98,18690,50,19176,111,31221,81,26248,89,14819,105,16638,218,16213,1090,65978,202,23830,270,31373
241,484026,98,18972,50,19464,115,31582,81,26592,89,15039,106,16910,224,16478,1100,66532,203,24170,270,31734
242,486120,100,19266,51,19752,118,31974,81,26939,90,15287,109,17176,228,16721,1109,67164,208,24493,273,32115
243,488112,104,19554,51,20027,119,32391,82,27252,91,15524,112,17430,232,16964,1123,67701,211,24837,276,32525
244,490074,104,19808,52,20306,120,32768,82,27621,94,15774,115,17670,237,17218,1131,68257,213,25158,276,32899
245,492127,106,20082,54,20579,120,33127,83,27975,95,16007,117,17924,238,17491,1144,68829,221,25514,279,33296
246,494157,106,20395,56,20894,121,33522,84,28345,95,16267,118,18222,239,17766,1154,69423,225,25846,281,33680
247,496249,109,20711,56,21189,125,33945,86,28694,99,16520,120,18525,242,18081,1171,70023,229,26204,287,34124
248,498192,111,20994,57,21483,127,34330,89,29057,103,16809,121,18797,242,18321,1179,70616,233,26549,289,34476
249,500234,112,21296,58,21778,128,34719,89,29404,105,17071,121,19077,248,18626,1193,71266,238,26895,292,34892
250,502218,114,21568,61,22086,128,35065,92,29773,107,17300,122,19340,251,18903,1205,71861,241,27219,297,35268
251,504353,115,21913,61,22399,129,35470,95,30148,113,17563,123,19640,255,19188,1215,72454,244,27590,297,35654
252,506342,119,22211,61,22678,131,35895,95,30476,116,17812,127,19918,256,19436,1229,73059,247,27955,303,36053
253,508355,121,22535,63,22981,132,36306,96,30873,117,18102,130,20224,263,19725,1244,73667,252,28323,305,36468
254,510308,125,22830,64,23320,135,36693,97,31242,120,18386,131,20531,266,20016,1261,74275,258,28656,312,36903
255,512383,126,23132,65,23634,138,37109,97,31646,122,18654,138,20830,269,20329,1270,74877,263,29037,315,37302
256,514419,126,23450,65,23946,139,37535,99,32039,125,18918,138,21138,269,20623,1288,75446,267,29404,324,37691
257,516484,127,23800,65,24267,139,37915,100,32421,125,19210,140,21447,274,20929,1296,76065,272,29792,326,38106
258,518474,130,24102,65,24581,141,38313,103,32800,128,19482,141,21739,281,21227,1304,76698,274,30115,332,38501
259,520502,134,24434,68,24893,142,38743,104,33185,132,19771,143,22056,286,21500,1317,77285,280,30475,336,38896
260,522480,136,24741,70,25185,143,39159,105,33613,134,20047,145,22372,292,21831,1329,77889,286,30871,343,39312
261,524541,136,25100,72,25544,143,39572,106,34003,136,20340,146,22685,302,22144,1341,78517,294,31279,343,39772
262,526581,136,25428,72,25861,144,40014,107,34398,136,20638,149,23015,307,22473,1351,79157,297,31668,346,40221
263,528647,137,25776,74,26186,145,40456,107,34802,136,20942,149,23342,312,22795,1364,79799,303,32078,349,40655
